project_name,developer,city,county,state,nearest_zip,latitude,longitude,status,capacity,investment,notes,source_url,date_compiled
Spalding County Data Center,Undisclosed,Griffin,Spalding,GA,30223,33.2468,-84.2641,Contested,Undisclosed,Undisclosed,Planning board recommended denial; commissioners heard May 28,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
Valley Link-served Data Centers,Dominion Energy (transmission),Goochland,Goochland,VA,23063,37.6863,-77.8825,Contested,N/A (1GW line),$1B (line),Valley Link transmission fight; eminent domain; 9 counties,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
Treetop 1GW Data Center,Treetop Companies,East Fishkill,Dutchess,NY,12533,41.5712,-73.7793,Proposed,~1GW (~800k homes),Undisclosed,Town Board set June 25 moratorium hearing,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
West Rockhill Data Center,Undisclosed,Sellersville,Bucks,PA,18960,40.3915,-75.3046,Contested,Undisclosed,Undisclosed,Supervisors tightening lot/noise/water ordinance,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
Shalersville Data Center,Undisclosed,Shalersville Township,Portage,OH,44255,41.2300,-81.1800,Contested,Undisclosed,Undisclosed,Developer open house May 29; opposition mounting,https://writing.strisker.com/data-centers-daily-notes-may-26-2026/,2026-06-11
Preble County Data Center,Undisclosed,Eaton,Preble,OH,45320,39.7442,-84.6363,Blocked (temp),Undisclosed,Undisclosed,Residents blocked via referendum threat Oct 2025,https://signalohio.org/ohio-data-center-boom-faces-political-resistence/,2026-06-11
Google Franklin Township,Google,Indianapolis,Marion,IN,46259,39.6634,-86.0227,Contested,Undisclosed,~$2B,468 acres farmland; bipartisan council opposition,https://datacenterwatch.substack.com/p/briefing-09052025,2026-06-11
Compass Datacenters Iredell,Compass Datacenters,Statesville,Iredell,NC,28625,35.7826,-80.8873,Contested,Undisclosed,Undisclosed,340-acre 5-building rezoning; swift opposition,https://datacenterwatch.substack.com/p/briefing-09052025,2026-06-11
Tract Mooresville,Tract,Mooresville,Iredell,NC,28115,35.5849,-80.8101,Blocked,Undisclosed,$30B,Proposal blocked,https://datacenterwatch.substack.com/p/briefing-09052025,2026-06-11
St. Lucie Mega-Campus,Undisclosed,Fort Pierce,St. Lucie,FL,34945,27.4467,-80.3256,Withdrawn,15M sq ft,$13.5B,Withdrawn Feb 2026 after pushback and pending legislation,https://floridadatacenters.org/,2026-06-11
New Brunswick Data Center,Undisclosed,New Brunswick,Middlesex,NJ,08901,40.4862,-74.4518,Canceled,N/A (27000 sq ft lot),Undisclosed,Council canceled Feb 19 2026; approved public park instead,https://datacenterwatch.substack.com/p/briefing-02202026,2026-06-11
Provident Burns Harbor,Provident Realty Advisors,Chesterton,Porter,IN,46304,41.6098,-87.0639,Withdrawn,Undisclosed,$1.3B,Withdrawn Oct 2024 after pushback; no updated proposal,https://www.datacenterwatch.org/report,2026-06-11
DC Blox Henrico,DC Blox,Richmond/Henrico,Henrico,VA,23231,37.5519,-77.4000,Withdrawn,50MW / 195000 sq ft,$500M,Deferred by Henrico County Planning Commission Jul 2024,https://www.datacenterwatch.org/report,2026-06-11
Diode Roxbury Technology Park,Diode Ventures,Charles City,Charles City,VA,23030,37.3457,-77.0700,Withdrawn,515 acres,$1B,Withdrawn Aug 2025 after 8 months of resident pushback,https://datacenterwatch.substack.com/p/briefing-09052025,2026-06-11
Keystone Trade Center,Undisclosed,Fairless Hills,Bucks,PA,19030,40.1773,-74.8516,Proposed,Undisclosed,Undisclosed,Former US Steel mill site; grid-powered,https://www.blackridgeresearch.com/blog/upcoming-largest-data-center-projects-in-united-states-usa,2026-06-11
